DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,ORIGIN,ARR_DELAY,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_snow,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,DEST_WTH_temp,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_snow,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk
2,UA,OO,ORD,3.0,2022-01-25 17:55:00,2022-01-25 20:52:00,8.4,0.0,0,0.0,13.0,268.0,0.0,9.9,10.0,19.1,0.0,0,0.04,10.2,272.0,100.0,4.9,10.0
2,B6,B6,JFK,10.0,2022-01-25 09:25:00,2022-01-25 10:43:00,37.6,0.0,0,0.0,5.3,270.0,100.0,7.7,10.0,28.0,0.0,0,0.04,14.8,272.0,100.0,3.9,10.0
2,B6,B6,JFK,-15.0,2022-01-25 21:59:00,2022-01-25 23:14:00,31.5,0.0,0,0.0,5.2,340.0,7.2,9.9,10.0,19.0,0.005,100,0.04,7.3,263.0,100.0,1.7,10.0
2,B6,B6,MCO,-23.0,2022-01-25 16:17:00,2022-01-25 19:00:00,52.8,0.03,100,0.0,7.6,168.0,100.0,9.8,10.0,17.2,0.0,0,0.04,8.0,271.0,89.6,9.7,10.0
2,DL,9E,JFK,-8.0,2022-01-25 12:30:00,2022-01-25 13:45:00,39.2,0.0,0,0.0,9.5,278.0,100.0,9.9,10.0,25.0,0.024,100,0.04,11.5,299.0,100.0,1.4,10.0
2,UA,OO,ORD,-7.0,2022-01-25 10:45:00,2022-01-25 13:37:00,11.6,0.0,0,0.0,10.0,295.0,24.2,9.9,10.0,25.0,0.024,100,0.04,11.5,299.0,100.0,1.4,10.0
2,UA,G7,ORD,-23.0,2022-01-25 14:30:00,2022-01-25 17:21:00,13.4,0.0,0,0.0,14.1,305.0,24.2,9.9,10.0,20.9,0.0,0,0.04,13.8,262.0,89.6,9.6,10.0
3,AA,PT,ORD,-19.0,2022-01-05 17:30:00,2022-01-05 20:18:00,13.4,0.0,0,0.0,20.5,268.0,97.5,9.6,3.0,42.9,0.0,0,0.0,11.3,199.0,88.2,9.9,3.0
3,B6,B6,JFK,-21.0,2022-01-05 09:25:00,2022-01-05 10:43:00,37.4,0.019,100,0.0,1.9,65.0,100.0,2.7,3.0,37.0,0.0,0,0.0,17.1,180.0,98.6,9.9,3.0
3,B6,B6,JFK,-23.0,2022-01-05 21:59:00,2022-01-05 23:14:00,42.7,0.0,0,0.0,8.4,245.0,23.8,9.9,3.0,34.0,0.0,0,0.0,7.0,279.0,48.0,9.9,3.0
3,B6,B6,MCO,-17.0,2022-01-05 16:17:00,2022-01-05 19:00:00,76.9,0.0,0,0.0,7.2,275.0,49.7,9.9,3.0,42.9,0.0,0,0.0,15.8,180.0,51.2,9.9,3.0
3,DL,9E,JFK,-16.0,2022-01-05 12:30:00,2022-01-05 13:45:00,40.5,0.058,100,0.0,8.4,225.0,100.0,4.1,3.0,40.8,0.0,0,0.0,14.7,170.0,100.0,9.9,3.0
3,UA,OO,ORD,23.0,2022-01-05 10:45:00,2022-01-05 13:37:00,14.6,0.0,0,0.0,23.0,259.0,97.5,3.4,3.0,40.8,0.0,0,0.0,14.7,170.0,100.0,9.9,3.0
3,UA,G7,ORD,-25.0,2022-01-05 14:30:00,2022-01-05 17:21:00,13.5,0.0,0,0.0,26.2,265.0,100.0,2.1,3.0,40.9,0.0,0,0.0,9.1,139.0,89.6,9.9,3.0
