DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk,DEST_WTH_conditions
2,AA,OO,3253,ORD,SYR,1516.0,-15.0,0,0,N,607,,,,0,,2022-01-11 12:40:00,2022-01-11 15:31:00,25.7,11.8,0.0,0,,0.0,27.3,19.7,189.0,38.9,9.9,10.0,Partially cloudy,8.8,8.8,0.0,0,,0.0,10.1,0.1,358.0,50.8,9.9,10.0,Partially cloudy
2,AA,PT,6235,ORD,SYR,1958.0,-20.0,0,0,N,607,,,,0,,2022-01-11 17:30:00,2022-01-11 20:18:00,34.9,24.0,0.0,0,,0.0,32.4,19.4,200.0,52.9,9.9,10.0,Partially cloudy,6.1,-8.5,0.0,0,,0.0,8.7,10.0,111.0,27.2,9.9,10.0,Partially cloudy
2,UA,OO,5412,ORD,SYR,2149.0,57.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-11 17:55:00,2022-01-11 20:52:00,34.9,24.0,0.0,0,,0.0,32.4,19.4,200.0,52.9,9.9,10.0,Partially cloudy,9.9,-4.5,0.0,0,,0.0,10.5,11.2,110.0,49.1,9.9,10.0,Partially cloudy
2,B6,B6,116,JFK,SYR,1137.0,54.0,0,0,N,209,0.0,0.0,9.0,0,,2022-01-11 09:25:00,2022-01-11 10:43:00,15.9,0.7,0.0,0,,0.0,22.4,15.7,313.0,27.1,9.9,10.0,Partially cloudy,2.7,2.7,0.0,0,,0.0,8.7,0.0,0.0,30.3,9.9,10.0,Partially cloudy
2,B6,B6,2516,JFK,SYR,2337.0,23.0,0,0,N,209,0.0,0.0,0.0,0,,2022-01-11 21:59:00,2022-01-11 23:14:00,18.5,18.5,0.0,0,,0.0,2.7,0.0,0.0,7.2,9.9,10.0,Clear,11.7,2.1,0.0,0,,0.0,26.4,6.0,82.0,47.3,9.9,10.0,Partially cloudy
2,B6,B6,656,MCO,SYR,1846.0,-14.0,0,0,N,1053,,,,0,,2022-01-11 16:17:00,2022-01-11 19:00:00,70.1,70.1,0.0,0,,0.0,21.9,15.1,32.0,52.0,9.9,10.0,Partially cloudy,7.8,-1.0,0.0,0,,0.0,10.5,4.7,129.0,29.6,9.9,10.0,Partially cloudy
2,DL,9E,5446,JFK,SYR,1331.0,-14.0,0,0,N,209,,,,0,,2022-01-11 12:30:00,2022-01-11 13:45:00,16.9,4.5,0.0,0,,0.0,21.2,10.7,300.0,7.2,9.9,10.0,Clear,7.8,1.1,0.0,0,,0.0,11.4,3.5,275.0,52.0,8.6,10.0,Partially cloudy
2,UA,OO,5392,ORD,SYR,1329.0,-8.0,0,0,N,607,,,,0,,2022-01-11 10:45:00,2022-01-11 13:37:00,18.9,5.1,0.0,0,,0.0,25.1,14.3,198.0,52.9,9.9,10.0,Partially cloudy,7.8,1.1,0.0,0,,0.0,11.4,3.5,275.0,52.0,8.6,10.0,Partially cloudy
2,UA,G7,4576,ORD,SYR,1712.0,-9.0,0,0,N,607,,,,0,,2022-01-11 14:30:00,2022-01-11 17:21:00,29.4,16.2,0.0,0,,0.0,32.5,21.3,189.0,24.2,9.9,10.0,Partially cloudy,7.9,-3.2,0.0,0,,0.0,7.6,6.7,157.0,48.8,9.9,10.0,Partially cloudy
2,AA,OO,3253,ORD,SYR,1513.0,-18.0,0,0,N,607,,,,0,,2022-01-18 12:40:00,2022-01-18 15:31:00,39.3,31.3,0.0,0,,0.0,29.8,13.9,187.0,84.4,9.9,10.0,Partially cloudy,21.7,10.1,0.0,0,,0.0,24.4,11.5,300.0,27.2,9.9,10.0,Partially cloudy
