MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,5,1/21/22 0:00,B6,B6,116,JFK,SYR,925,1043,1030,-13,0,0,N,209,,,,0
1,5,1/21/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2302,-12,0,0,N,209,,,,0
1,5,1/21/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1834,-26,0,0,N,1053,,,,0
1,5,1/21/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1328,-17,0,0,N,209,,,,0
1,5,1/21/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1728,7,0,0,N,607,,,,0
1,5,1/21/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1327,-10,0,0,N,607,,,,0
1,5,1/21/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2106,14,0,0,N,607,,,,0
1,5,1/28/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0
1,5,1/28/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2025,7,0,0,N,607,,,,0
1,5,1/28/22 0:00,B6,B6,116,JFK,SYR,925,1043,1209,86,0,0,N,209,0,24,30,0
1,5,1/28/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2345,31,0,0,N,209,0,31,0,0
1,5,1/28/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1835,-25,0,0,N,1053,,,,0
1,5,1/28/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1435,50,0,0,N,209,0,50,0,0
1,5,1/28/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1805,44,0,0,N,607,0,0,44,0
1,5,1/28/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1446,69,0,0,N,607,0,0,69,0
1,5,1/28/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2112,20,0,0,N,607,0,0,0,0
1,6,1/1/22 0:00,AA,OO,3276,ORD,SYR,1725,2014,,,1,0,N,607,,,,0
1,6,1/1/22 0:00,AA,MQ,4316,ORD,SYR,1528,1815,,,1,0,N,607,,,,0
1,6,1/1/22 0:00,B6,B6,2516,JFK,SYR,2145,2259,2335,36,0,0,N,209,0,0,0,0
1,6,1/1/22 0:00,B6,B6,656,MCO,SYR,1313,1556,1618,22,0,0,N,1053,0,0,0,0
1,6,1/1/22 0:00,UA,G7,4576,ORD,SYR,1445,1736,,,1,0,N,607,,,,0
1,6,1/1/22 0:00,UA,OO,5392,ORD,SYR,1040,1332,1307,-25,0,0,N,607,,,,0
1,6,1/1/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,,,1,0,N,607,,,,0
